Déplacement (mm);Force (N)
1.35;4494.7
1.4;4446.71
1.4;4510.7
1.4;4558.68
1.4;4590.67
1.4;4622.66
1.4;4654.65
1.4;4686.64
1.4;4718.64
1.4;4750.63
1.4;4830.6
1.46;4782.62
1.46;4846.6
1.46;4878.59
1.46;4910.58
1.46;4942.57
1.46;4974.56
1.46;5022.55
1.46;5038.54
1.46;5086.53
1.46;5102.52
1.46;5150.51
1.46;5182.5
1.46;5214.49
1.46;5246.48
1.46;5294.47
1.46;5358.45
1.52;5310.46
1.52;5374.45
1.52;5422.43
1.52;5438.43
1.52;5486.41
1.52;5502.41
1.52;5550.4
1.52;5566.39
1.52;5598.38
1.52;5630.37
1.52;5662.36
1.52;5694.35
1.52;5726.34
1.52;5790.33
1.52;5854.31
1.52;5918.29
1.57;5758.34
1.57;5822.32
1.57;5886.3
1.57;5934.28
1.57;5982.27
1.57;5998.27
1.57;6046.25
1.57;6110.23
1.57;6174.21
1.57;6238.2
1.57;6302.18
1.63;6062.25
1.63;6142.22
1.63;6190.21
1.63;6254.19
1.63;6318.17
1.63;6366.16
1.63;6382.15
1.63;6430.14
1.63;6446.14
1.63;6478.13
1.63;6494.12
1.63;6526.11
1.63;6558.1
1.63;6590.09
1.63;6654.08
1.63;6702.06
1.63;6750.05
1.68;6606.09
1.68;6670.07
1.68;6718.06
1.68;6782.04
1.68;6814.03
1.68;6830.03
1.68;6862.02
1.68;6878.01
1.68;6910
1.68;6926
1.68;6973.98
1.68;7021.97
1.68;7069.96
1.68;7117.94
1.68;7165.93
1.68;7213.91
1.74;6989.98
1.74;7037.97
1.74;7085.95
1.74;7133.94
1.74;7197.92
1.74;7245.91
1.74;7277.9
1.74;7293.89
1.74;7325.88
1.8;7325.88
1.8;7357.87
1.8;7373.87
1.8;7405.86
1.8;7405.86
1.8;7437.85
1.8;7453.84
1.8;7469.84
1.8;7485.84
1.8;7517.83
1.8;7533.82
1.8;7549.82
1.8;7565.81
1.8;7597.8
1.8;7597.8
1.8;7629.79
1.8;7629.79
1.85;7661.78
1.85;7661.78
1.85;7693.78
1.85;7693.78
1.85;7725.77
1.85;7725.77
1.85;7757.76
1.85;7789.75
1.91;7757.76
1.91;7789.75
1.91;7821.74
1.91;7821.74
1.91;7837.73
1.91;7853.73
1.91;7869.72
1.91;7885.72
1.91;7901.72
1.91;7917.71
1.91;7933.71
1.91;7949.7
1.91;7965.7
1.91;7981.69
1.97;7933.71
1.97;7949.7
1.97;7965.7
1.97;7981.69
1.97;8013.68
1.97;8013.68
1.97;8029.68
1.97;8029.68
1.97;8045.67
1.97;8061.67
1.97;8077.66
1.97;8077.66
1.97;8093.66
1.97;8093.66
1.97;8109.66
1.97;8125.65
2.02;8109.66
2.02;8125.65
2.02;8141.65
2.02;8157.64
2.02;8173.64
2.02;8173.64
2.02;8189.63
2.02;8189.63
2.02;8205.63
2.02;8205.63
2.02;8221.62
2.02;8237.62
2.02;8253.61
2.08;8221.62
2.08;8237.62
2.08;8253.61
2.08;8269.61
2.08;8269.61
2.08;8285.6
2.08;8285.6
2.08;8301.6
2.13;8301.6
2.13;8317.6
2.13;8317.6
2.13;8333.59
2.13;8333.59
2.13;8349.59
2.13;8349.59
2.13;8349.59
2.13;8365.58
2.13;8365.58
2.13;8365.58
2.13;8381.58
2.13;8381.58
2.13;8397.57
2.13;8413.57
2.19;8397.57
2.19;8413.57
2.19;8429.56
2.19;8429.56
2.19;8445.56
2.19;8445.56
2.19;8461.55
2.19;8477.55
2.19;8493.54
2.19;8493.54
2.19;8509.54
2.25;8461.55
2.25;8477.55
2.25;8493.54
2.25;8493.54
2.25;8509.54
2.25;8525.54
2.25;8525.54
2.25;8525.54
2.25;8525.54
2.25;8541.53
2.3;8541.53
2.3;8557.53
2.3;8557.53
2.3;8573.52
2.3;8573.52
2.3;8573.52
2.3;8573.52
2.3;8589.52
2.3;8589.52
2.3;8605.51
2.3;8605.51
2.3;8621.51
2.3;8621.51
2.3;8637.5
2.36;8621.51
2.36;8621.51
2.36;8637.5
2.36;8653.5
2.36;8653.5
2.36;8669.49
2.36;8653.5
2.36;8669.49
2.36;8669.49
2.36;8685.49
2.36;8701.48
2.36;8701.48
2.41;8685.49
2.41;8685.49
2.41;8701.48
2.41;8717.48
2.41;8717.48
2.41;8717.48
2.41;8717.48
2.41;8733.47
2.41;8733.47
2.41;8749.47
2.41;8765.47
2.47;8749.47
2.47;8765.47
2.47;8765.47
2.47;8765.47
2.47;8781.46
2.47;8781.46
2.47;8781.46
2.47;8781.46
2.47;8797.46
2.47;8797.46
2.47;8797.46
2.53;8797.46
2.53;8813.45
2.53;8813.45
2.53;8829.45
2.53;8813.45
2.53;8845.44
2.53;8829.45
2.53;8845.44
2.53;8845.44
2.53;8861.44
2.53;8877.43
2.53;8877.43
2.53;8877.43
2.53;8893.43
2.58;8877.43
2.58;8893.43
2.58;8893.43
2.58;8893.43
2.58;8893.43
2.58;8909.42
2.58;8893.43
2.58;8909.42
2.58;8909.42
2.58;8925.42
2.58;8925.42
2.64;8925.42
2.64;8925.42
2.64;8941.41
2.64;8941.41
2.64;8957.41
2.64;8957.41
2.64;8957.41
2.64;8957.41
2.64;8973.41
2.64;8973.41
2.64;8989.4
2.64;8973.41
2.64;8989.4
2.64;9005.4
2.64;9005.4
2.7;8989.4
2.7;8989.4
2.7;9005.4
2.7;9021.39
2.7;9021.39
2.7;9037.39
2.7;9037.39
2.7;9037.39
2.7;9037.39
2.7;9037.39
2.7;9053.38
2.75;9037.39
2.75;9053.38
2.75;9053.38
2.75;9053.38
2.75;9069.38
2.75;9069.38
2.75;9085.37
2.75;9085.37
2.75;9085.37
2.75;9085.37
2.75;9101.37
2.75;9101.37
2.81;9101.37
2.81;9101.37
2.81;9117.36
2.81;9117.36
2.81;9117.36
2.81;9117.36
2.81;9133.36
2.81;9133.36
2.81;9133.36
2.81;9133.36
2.81;9149.35
2.81;9149.35
2.81;9165.35
2.86;9133.36
2.86;9149.35
2.86;9165.35
2.86;9181.35
2.86;9181.35
2.86;9197.34
2.86;9197.34
2.86;9197.34
2.86;9197.34
2.86;9197.34
2.86;9197.34
2.86;9197.34
2.92;9197.34
2.92;9213.34
2.92;9213.34
2.92;9213.34
2.92;9213.34
2.92;9229.33
2.92;9229.33
2.92;9229.33
2.92;9229.33
2.92;9245.33
2.92;9245.33
2.92;9245.33
2.92;9261.32
2.98;9245.33
2.98;9261.32
2.98;9261.32
2.98;9261.32
2.98;9277.32
2.98;9277.32
2.98;9277.32
2.98;9277.32
2.98;9277.32
2.98;9277.32
2.98;9261.32
3.03;9277.32
3.03;9277.32
3.03;9277.32
3.03;9261.32
3.03;9245.33
3.03;9245.33
3.03;9245.33
3.03;9245.33
3.03;9261.32
3.03;9261.32
3.03;9293.31
3.03;9325.3
3.03;9325.3
3.09;9277.32
3.09;9309.31
3.09;9325.3
3.09;9325.3
3.09;9341.3
3.09;9341.3
3.09;9341.3
3.09;9341.3
3.09;9357.29
3.09;9357.29
3.09;9357.29
3.09;9357.29
3.09;9357.29
3.09;9357.29
3.09;9357.29
3.09;9373.29
3.14;9357.29
3.14;9373.29
3.14;9389.29
3.14;9389.29
3.14;9389.29
3.14;9389.29
3.14;9389.29
3.14;9389.29
3.14;9405.28
3.14;9405.28
3.14;9405.28
3.14;9405.28
3.14;9421.28
3.14;9437.27
3.14;9453.27
3.2;9453.27
3.2;9469.26
3.2;9469.26
3.2;9469.26
3.2;9469.26
3.2;9469.26
3.2;9469.26
3.2;9469.26
3.2;9469.26
3.2;9469.26
3.2;9469.26
3.2;9485.26
3.2;9485.26
3.26;9469.26
3.26;9469.26
3.26;9469.26
3.26;9469.26
3.26;9469.26
3.26;9469.26
3.26;9469.26
3.26;9469.26
3.26;9485.26
3.26;9485.26
3.26;9501.25
3.26;9517.25
3.31;9501.25
3.31;9517.25
3.31;9533.24
3.31;9549.24
3.31;9549.24
3.31;9565.23
3.31;9565.23
3.31;9565.23
3.31;9565.23
3.31;9565.23
3.31;9565.23
3.31;9565.23
3.31;9565.23
3.37;9565.23
3.37;9565.23
3.37;9565.23
3.37;9565.23
3.37;9565.23
3.37;9565.23
3.37;9565.23
3.37;9565.23
3.37;9565.23
3.37;9565.23
3.37;9565.23
3.37;9565.23
3.43;9581.23
3.43;9597.23
3.43;9597.23
3.43;9613.22
3.43;9629.22
3.43;9645.21
3.43;9645.21
3.43;9645.21
3.43;9645.21
3.43;9645.21
3.43;9645.21
3.43;9645.21
3.43;9645.21
3.48;9645.21
3.48;9645.21
3.48;9661.21
3.48;9645.21
3.48;9645.21
3.48;9645.21
3.48;9645.21
3.48;9645.21
3.48;9645.21
3.48;9645.21
3.48;9661.21
3.48;9677.2
3.54;9661.21
3.54;9677.2
3.54;9693.2
3.54;9693.2
3.54;9709.19
3.54;9709.19
3.54;9709.19
3.54;9709.19
3.54;9709.19
3.54;9709.19
3.54;9709.19
3.54;9709.19
3.54;9693.2
3.54;9693.2
3.54;9709.19
3.54;9709.19
3.54;9709.19
3.59;9709.19
3.59;9709.19
3.59;9725.19
3.59;9725.19
3.59;9741.18
3.59;9757.18
3.59;9773.17
3.59;9789.17
3.59;9789.17
3.59;9789.17
3.59;9805.17
3.65;9789.17
3.65;9789.17
3.65;9805.17
3.65;9805.17
3.65;9805.17
3.65;9805.17
3.65;9805.17
3.65;9805.17
3.71;9789.17
3.71;9789.17
3.71;9789.17
3.71;9789.17
3.71;9773.17
3.71;9773.17
3.71;9773.17
3.71;9773.17
3.71;9789.17
3.71;9789.17
3.71;9805.17
3.71;9805.17
3.71;9821.16
3.71;9837.16
3.76;9837.16
3.76;9853.15
3.76;9853.15
3.76;9853.15
3.76;9853.15
3.76;9853.15
3.76;9853.15
3.76;9853.15
3.76;9853.15
3.82;9853.15
3.82;9853.15
3.82;9853.15
3.82;9853.15
3.82;9853.15
3.82;9853.15
3.82;9853.15
3.82;9853.15
3.82;9869.15
3.82;9869.15
3.82;9885.14
3.82;9901.14
3.82;9917.13
3.82;9933.13
3.82;9949.12
3.82;9949.12
3.87;9933.13
3.87;9949.12
3.87;9933.13
3.87;9949.12
3.87;9933.13
3.87;9949.12
3.87;9933.13
3.87;9933.13
3.87;9917.13
3.93;9933.13
3.93;9933.13
3.93;9917.13
3.93;9917.13
3.93;9917.13
3.93;9901.14
3.93;9917.13
3.93;9917.13
3.93;9917.13
3.93;9933.13
3.93;9949.12
3.93;9965.12
3.93;9981.11
3.93;9981.11
3.93;9997.11
3.93;9997.11
3.93;9997.11
3.99;9997.11
3.99;10013.1
3.99;10013.1
3.99;9997.11
3.99;9997.11
3.99;9997.11
3.99;9997.11
3.99;9997.11
4.04;9997.11
4.04;9997.11
4.04;9997.11
4.04;9997.11
4.04;9997.11
4.04;9997.11
4.04;9981.11
4.04;9997.11
4.04;9981.11
4.04;9997.11
4.04;9997.11
4.04;10013.1
4.04;10013.1
4.04;10029.1
4.04;10029.1
4.04;10045.1
4.04;10061.09
4.1;10045.1
4.1;10061.09
4.1;10061.09
4.1;10061.09
4.1;10061.09
4.1;10045.1
4.1;10061.09
4.1;10061.09
4.1;10061.09
4.1;10061.09
4.1;10077.09
4.1;10077.09
4.1;10077.09
4.1;10093.08
4.16;10093.08
4.16;10093.08
4.16;10093.08
4.16;10093.08
4.16;10093.08
4.16;10077.09
4.16;10077.09
4.16;10093.08
4.16;10109.08
4.21;10093.08
4.21;10093.08
4.21;10109.08
4.21;10109.08
4.21;10109.08
4.21;10125.07
4.21;10125.07
4.21;10125.07
4.21;10125.07
4.21;10125.07
4.21;10125.07
4.21;10125.07
4.21;10109.08
4.21;10109.08
4.21;10125.07
4.27;10109.08
4.27;10141.07
4.27;10157.06
4.27;10157.06
4.27;10189.05
4.27;10189.05
4.27;10205.05
4.27;10205.05
4.27;10205.05
4.27;10205.05
4.27;10205.05
4.27;10205.05
4.27;10205.05
4.32;10205.05
4.32;10205.05
4.32;10205.05
4.32;10205.05
4.32;10189.05
4.32;10189.05
4.32;10189.05
4.32;10189.05
4.32;10189.05
4.32;10189.05
4.38;10173.06
4.38;10189.05
4.38;10189.05
4.38;10205.05
4.38;10205.05
4.38;10205.05
4.38;10205.05
4.38;10205.05
4.38;10205.05
4.38;10221.04
4.38;10221.04
4.38;10221.04
4.38;10237.04
4.38;10237.04
4.38;10237.04
4.38;10253.04
4.44;10253.04
4.44;10253.04
4.44;10253.04
4.44;10253.04
4.44;10253.04
4.44;10253.04
4.44;10253.04
4.44;10253.04
4.44;10253.04
4.44;10253.04
4.44;10269.03
4.44;10285.03
4.44;10301.02
4.44;10317.02
4.49;10285.03
4.49;10301.02
4.49;10317.02
4.49;10317.02
4.49;10301.02
4.49;10301.02
4.49;10301.02
4.49;10301.02
4.49;10301.02
4.49;10301.02
4.55;10301.02
4.55;10301.02
4.55;10301.02
4.55;10301.02
4.55;10301.02
4.55;10301.02
4.55;10301.02
4.55;10317.02
4.55;10317.02
4.55;10333.01
4.55;10349.01
4.6;10317.02
4.6;10333.01
4.6;10349.01
4.6;10349.01
4.6;10349.01
4.6;10349.01
4.6;10349.01
4.6;10349.01
4.6;10349.01
4.6;10349.01
4.6;10349.01
4.6;10349.01
4.6;10349.01
4.6;10349.01
4.6;10349.01
4.6;10365
4.66;10349.01
4.66;10381
4.66;10396.99
4.66;10396.99
4.66;10412.99
4.66;10396.99
4.66;10396.99
4.66;10396.99
4.66;10396.99
4.66;10396.99
4.66;10396.99
4.72;10396.99
4.72;10396.99
4.72;10396.99
4.72;10396.99
4.72;10381
4.72;10381
4.72;10381
4.72;10381
4.72;10396.99
4.72;10396.99
4.72;10412.99
4.72;10444.98
4.72;10476.97
4.77;10460.98
4.77;10476.97
4.77;10492.97
4.77;10476.97
4.77;10476.97
4.77;10476.97
4.77;10460.98
4.77;10460.98
4.77;10460.98
4.77;10460.98
4.77;10444.98
4.77;10444.98
4.77;10444.98
4.83;10428.98
4.83;10428.98
4.83;10428.98
4.83;10428.98
4.83;10444.98
4.83;10460.98
4.83;10476.97
4.83;10492.97
4.83;10492.97
4.83;10524.96
4.89;10508.96
4.89;10524.96
4.89;10508.96
4.89;10508.96
4.89;10492.97
4.89;10492.97
4.89;10492.97
4.89;10492.97
4.89;10492.97
4.89;10492.97
4.89;10492.97
4.89;10492.97
4.89;10492.97
4.94;10492.97
4.94;10508.96
4.94;10508.96
4.94;10508.96
4.94;10524.96
4.94;10524.96
4.94;10540.95
4.94;10540.95
4.94;10540.95
4.94;10540.95
4.94;10540.95
4.94;10540.95
4.94;10540.95
4.94;10524.96
4.94;10524.96
4.94;10524.96
4.94;10524.96
5;10524.96
5;10524.96
5;10540.95
5;10540.95
5;10556.95
5;10572.94
5;10572.94
5;10604.93
5;10604.93
5.05;10604.93
5.05;10604.93
5.05;10604.93
5.05;10588.94
5.05;10588.94
5.05;10588.94
5.05;10588.94
5.05;10588.94
5.05;10588.94
5.05;10588.94
5.05;10588.94
5.05;10588.94
5.05;10588.94
5.05;10588.94
5.05;10604.93
5.11;10588.94
5.11;10588.94
5.11;10620.93
5.11;10636.92
5.11;10636.92
5.11;10652.92
5.11;10652.92
5.11;10652.92
5.11;10652.92
5.11;10652.92
5.17;10636.92
5.17;10636.92
5.17;10620.93
5.17;10620.93
5.17;10620.93
5.17;10620.93
5.17;10604.93
5.17;10620.93
5.17;10620.93
5.17;10620.93
5.17;10636.92
5.17;10652.92
5.17;10668.92
5.17;10684.91
5.17;10684.91
5.22;10668.92
5.22;10684.91
5.22;10684.91
5.22;10684.91
5.22;10684.91
5.22;10684.91
5.22;10684.91
5.28;10684.91
5.28;10684.91
5.28;10668.92
5.28;10668.92
5.28;10668.92
5.28;10668.92
5.28;10668.92
5.28;10684.91
5.28;10684.91
5.28;10700.91
5.28;10700.91
5.28;10716.9
5.28;10732.9
5.28;10732.9
5.28;10732.9
5.33;10732.9
5.33;10732.9
5.33;10732.9
5.33;10716.9
5.33;10716.9
5.33;10716.9
5.33;10716.9
5.33;10716.9
5.33;10716.9
5.33;10700.91
5.33;10700.91
5.33;10716.9
5.33;10716.9
5.33;10716.9
5.33;10732.9
5.39;10748.89
5.39;10764.89
5.39;10780.88
5.39;10780.88
5.39;10780.88
5.39;10780.88
5.39;10780.88
5.39;10764.89
5.39;10764.89
5.39;10764.89
5.39;10780.88
5.39;10764.89
5.45;10764.89
5.45;10764.89
5.45;10764.89
5.45;10748.89
5.45;10764.89
5.45;10764.89
5.45;10764.89
5.45;10780.88
5.45;10796.88
5.45;10812.87
5.45;10828.87
5.45;10796.88
5.5;10828.87
5.5;10828.87
5.5;10828.87
5.5;10812.87
5.5;10796.88
5.5;10796.88
5.5;10796.88
5.5;10796.88
5.5;10796.88
5.5;10796.88
5.5;10796.88
5.5;10828.87
5.5;10844.86
5.56;10796.88
5.56;10812.87
5.56;10844.86
5.56;10860.86
5.56;10860.86
5.56;10860.86
5.56;10860.86
5.56;10844.86
5.56;10844.86
5.56;10844.86
5.62;10844.86
5.62;10844.86
5.62;10844.86
5.62;10844.86
5.62;10844.86
5.62;10844.86
5.62;10844.86
5.62;10844.86
5.62;10844.86
5.62;10844.86
5.62;10844.86
5.62;10844.86
5.62;10860.86
5.62;10892.85
5.67;10876.86
5.67;10892.85
5.67;10892.85
5.67;10908.85
5.67;10908.85
5.67;10892.85
5.67;10892.85
5.67;10892.85
5.67;10876.86
5.67;10876.86
5.67;10876.86
5.67;10892.85
5.73;10892.85
5.73;10876.86
5.73;10876.86
5.73;10892.85
5.73;10908.85
5.73;10924.84
5.73;10940.84
5.73;10940.84
5.73;10956.83
5.73;10956.83
5.73;10956.83
5.73;10940.84
5.73;10940.84
5.73;10940.84
5.73;10924.84
5.78;10924.84
5.78;10924.84
5.78;10924.84
5.78;10924.84
5.78;10924.84
5.78;10924.84
5.78;10940.84
5.78;10940.84
5.78;10956.83
5.78;10972.83
5.78;10972.83
5.78;10972.83
5.78;10972.83
5.84;10972.83
5.84;10956.83
5.84;10956.83
5.84;10940.84
5.84;10940.84
5.84;10940.84
5.84;10956.83
5.84;10956.83
5.84;10972.83
5.84;10972.83
5.84;10988.82
5.84;11004.82
5.84;11004.82
5.9;11004.82
5.9;11004.82
5.9;11004.82
5.9;10988.82
5.9;10988.82
5.9;10988.82
5.9;11004.82
5.9;11004.82
5.9;11004.82
5.9;10988.82
5.9;10988.82
5.9;10972.83
5.9;10972.83
5.95;10972.83
5.95;10972.83
5.95;10988.82
5.95;10988.82
5.95;11004.82
5.95;11020.81
5.95;11036.81
5.95;11052.8
5.95;11068.8
5.95;11068.8
5.95;11052.8
5.95;11052.8
5.95;11036.81
6.01;11036.81
6.01;11020.81
6.01;11020.81
6.01;11020.81
6.01;11020.81
6.01;11020.81
6.01;11020.81
6.01;11020.81
6.01;11020.81
6.01;11036.81
6.01;11036.81
6.06;11036.81
6.06;11052.8
6.06;11068.8
6.06;11084.8
6.06;11084.8
6.06;11100.79
6.06;11100.79
6.06;11100.79
6.06;11100.79
6.06;11100.79
6.06;11084.8
6.06;11084.8
6.06;11084.8
6.12;11068.8
6.12;11068.8
6.12;11068.8
6.12;11068.8
6.12;11068.8
6.12;11084.8
6.12;11084.8
6.12;11100.79
6.12;11100.79
6.12;11100.79
6.12;11116.79
6.12;11116.79
6.12;11116.79
6.12;11100.79
6.18;11100.79
6.18;11100.79
6.18;11100.79
6.18;11100.79
6.18;11100.79
6.18;11100.79
6.18;11100.79
6.18;11116.79
6.18;11132.78
6.18;11148.78
6.18;11164.77
6.18;11180.77
6.23;11180.77
6.23;11180.77
6.23;11180.77
6.23;11180.77
6.23;11164.77
6.23;11148.78
6.23;11148.78
6.23;11148.78
6.23;11148.78
6.23;11148.78
6.23;11132.78
6.29;11148.78
6.29;11148.78
6.29;11148.78
6.29;11132.78
6.29;11132.78
6.29;11132.78
6.29;11148.78
6.29;11148.78
6.29;11164.77
6.29;11164.77
6.29;11180.77
6.29;11196.76
6.29;11196.76
6.35;11196.76
6.35;11196.76
6.35;11196.76
6.35;11196.76
6.35;11196.76
6.35;11196.76
6.35;11196.76
6.35;11196.76
6.35;11180.77
6.35;11180.77
6.35;11180.77
6.35;11180.77
6.35;11180.77
6.35;11180.77
6.35;11196.76
6.35;11228.75
6.4;11196.76
6.4;11212.76
6.4;11244.75
6.4;11244.75
6.4;11260.74
6.4;11260.74
6.4;11260.74
6.4;11244.75
6.4;11244.75
6.4;11228.75
6.4;11228.75
6.4;11228.75
6.46;11212.76
6.46;11212.76
6.46;11212.76
6.46;11212.76
6.46;11212.76
6.46;11212.76
6.46;11212.76
6.46;11228.75
6.46;11244.75
6.46;11244.75
6.46;11260.74
6.46;11260.74
6.46;11276.74
6.46;11276.74
6.51;11276.74
6.51;11260.74
6.51;11260.74
6.51;11244.75
6.51;11260.74
6.51;11244.75
6.51;11260.74
6.51;11260.74
6.51;11276.74
6.57;11276.74
6.57;11292.73
6.57;11308.73
6.57;11308.73
6.57;11308.73
6.57;11308.73
6.57;11308.73
6.57;11308.73
6.57;11308.73
6.57;11292.73
6.57;11292.73
6.57;11292.73
6.57;11292.73
6.57;11292.73
6.57;11292.73
6.57;11308.73
6.57;11308.73
6.63;11324.73
6.63;11340.72
6.63;11340.72
6.63;11356.72
6.63;11340.72
6.63;11340.72
6.63;11340.72
6.68;11324.73
6.68;11324.73
6.68;11324.73
6.68;11308.73
6.68;11308.73
6.68;11308.73
6.68;11292.73
6.68;11308.73
6.68;11308.73
6.68;11324.73
6.68;11340.72
6.68;11356.72
6.68;11372.71
6.68;11388.71
6.74;11388.71
6.74;11388.71
6.74;11388.71
6.74;11372.71
6.74;11372.71
6.74;11372.71
6.74;11356.72
6.74;11372.71
6.74;11356.72
6.74;11340.72
6.79;11356.72
6.79;11340.72
6.79;11340.72
6.79;11340.72
6.79;11340.72
6.79;11356.72
6.79;11356.72
6.79;11372.71
6.79;11388.71
6.79;11404.7
6.79;11420.7
6.79;11420.7
6.79;11420.7
6.79;11404.7
6.79;11404.7
6.85;11420.7
6.85;11404.7
6.85;11404.7
6.85;11404.7
6.85;11404.7
6.85;11404.7
6.85;11404.7
6.85;11404.7
6.85;11404.7
6.85;11404.7
6.85;11420.7
6.85;11420.7
6.85;11420.7
6.85;11436.69
6.91;11420.7
6.91;11436.69
6.91;11436.69
6.91;11436.69
6.91;11436.69
6.91;11436.69
6.91;11420.7
6.96;11436.69
6.96;11420.7
6.96;11420.7
6.96;11420.7
6.96;11436.69
6.96;11436.69
6.96;11452.69
6.96;11468.68
6.96;11484.68
6.96;11484.68
6.96;11484.68
6.96;11500.67
6.96;11484.68
6.96;11484.68
6.96;11468.68
7.02;11468.68
7.02;11452.69
7.02;11468.68
7.02;11452.69
7.02;11468.68
7.02;11468.68
7.02;11468.68
7.02;11484.68
7.02;11484.68
7.02;11484.68
