Déplacement (mm);Force (N)
0.06;31.99
0.06;31.99
0.06;16
0.06;31.99
0.06;16
0.06;16
0.06;16
0.06;31.99
0.06;31.99
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;31.99
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;31.99
0.06;31.99
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;31.99
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.06;16
0.11;16
0.11;0
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;0
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;0
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;31.99
0.11;16
0.11;0
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;0
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;16
0.11;31.99
0.11;16
0.17;16
0.17;16
0.17;16
0.17;16
0.17;31.99
0.22;16
0.22;16
0.28;16
0.28;16
0.34;16
0.34;16
0.34;16
0.34;16
0.39;16
0.39;31.99
0.39;16
0.45;31.99
0.45;16
0.45;31.99
0.45;16
0.45;31.99
0.51;16
0.51;31.99
0.56;16
0.56;31.99
0.56;16
0.62;31.99
0.62;16
0.62;31.99
0.67;31.99
0.67;47.99
0.67;47.99
0.67;63.98
0.73;79.98
0.73;95.97
0.73;111.97
0.73;143.96
0.73;143.96
0.73;175.95
0.79;127.96
0.79;143.96
0.79;175.95
0.79;191.94
0.79;207.94
0.79;223.94
0.79;223.94
0.79;255.93
0.79;271.92
0.79;303.91
0.79;335.9
0.79;399.88
0.79;495.86
0.84;431.88
0.84;527.85
0.84;575.83
0.9;303.91
0.9;319.91
0.9;367.89
0.9;431.88
0.9;479.86
0.9;543.84
0.9;575.83
0.9;639.82
0.9;735.79
0.95;671.81
0.95;767.78
0.95;831.76
0.95;863.75
0.95;927.73
0.95;959.72
0.95;1023.7
1.01;1055.69
1.01;1103.68
1.01;1135.67
1.01;1183.66
1.01;1215.65
1.01;1279.63
1.01;1343.61
1.01;1423.59
1.01;1487.57
1.01;1599.54
1.07;1295.63
1.07;1375.6
1.07;1439.58
1.07;1503.57
1.07;1551.55
1.07;1567.55
1.07;1615.53
1.07;1647.52
1.07;1663.52
1.07;1679.51
1.07;1695.51
1.07;1711.51
1.07;1727.5
1.07;1743.5
1.07;1743.5
1.07;1759.49
1.07;1759.49
1.07;1759.49
1.07;1759.49
1.07;1759.49
1.07;1759.49
1.07;1759.49
1.07;1759.49
1.07;1759.49
1.07;1775.49
1.07;1791.48
1.07;1807.48
1.07;1855.46
1.07;1871.46
1.07;1903.45
1.07;1967.43
1.12;1919.45
1.12;1983.43
1.12;1999.42
1.12;2015.42
1.12;2063.4
1.12;2079.4
1.12;2111.39
1.12;2127.38
1.12;2175.37
1.12;2191.37
1.12;2239.35
1.12;2255.35
1.12;2303.33
1.12;2351.32
1.12;2415.3
1.12;2479.28
1.12;2543.26
1.18;2319.33
1.18;2367.32
1.18;2431.3
1.18;2495.28
1.18;2559.26
1.18;2591.25
1.18;2623.24
1.18;2655.23
1.18;2671.23
1.18;2719.21
1.18;2735.21
1.18;2783.2
1.18;2847.18
1.18;2911.16
1.18;2975.14
1.18;3023.13
1.18;3103.1
1.24;2799.19
1.24;2863.17
1.24;2927.15
1.24;2991.14
1.24;3055.12
1.24;3119.1
1.24;3167.08
1.24;3183.08
1.24;3215.07
1.24;3247.06
1.24;3279.05
1.24;3311.04
1.24;3343.03
1.24;3359.03
1.24;3407.01
1.24;3471
1.24;3598.96
1.29;3423.01
1.29;3486.99
1.29;3534.98
1.29;3550.97
1.29;3614.95
1.29;3662.94
1.29;3678.94
1.29;3726.92
1.29;3758.91
1.29;3790.9
1.29;3806.9
1.29;3854.89
1.29;3982.85
1.35;3870.88
1.35;3918.87
1.35;3950.86
1.35;4014.84
1.35;4046.83
1.35;4078.82
1.35;4110.81
1.35;4142.8
1.35;4174.79
1.35;4206.78
1.35;4238.77
1.35;4270.77
1.35;4302.76
1.35;4334.75
1.35;4366.74
1.35;4382.73
1.35;4430.72
