Déplacement (mm);Force (N)
2.92;3822.89
2.92;3806.9
2.92;3822.89
2.92;3870.88
2.98;3838.89
2.98;3790.9
2.98;3790.9
2.98;3790.9
2.98;3806.9
2.98;3822.89
3.03;3806.9
3.03;3806.9
3.03;3822.89
3.03;3822.89
3.03;3854.89
3.03;3838.89
3.09;3854.89
3.09;3854.89
3.09;3902.87
3.09;3886.88
3.09;3934.86
3.09;3918.87
3.09;3838.89
3.09;3854.89
3.14;3838.89
3.14;3854.89
3.14;3870.88
3.14;3854.89
3.14;3886.88
3.14;3886.88
3.2;3870.88
3.2;3870.88
3.2;3902.87
3.2;3886.88
3.2;3902.87
3.2;3870.88
3.2;3902.87
3.26;3902.87
3.26;3934.86
3.26;3934.86
3.26;3918.87
3.26;3886.88
3.26;3950.86
3.26;3966.85
3.26;3966.85
3.31;3950.86
3.31;3950.86
3.31;3950.86
3.31;3966.85
3.31;3950.86
3.31;3950.86
3.31;4014.84
3.37;3966.85
3.37;3998.84
3.37;3950.86
3.37;3982.85
3.37;4014.84
3.37;3998.84
3.43;3966.85
3.43;3982.85
3.43;3998.84
3.43;3982.85
3.43;3998.84
3.43;4014.84
3.43;4030.83
3.48;3998.84
3.48;3998.84
3.48;3998.84
3.48;4030.83
3.48;4046.83
3.48;4078.82
3.48;4062.83
3.54;4062.83
3.54;4062.83
3.54;4094.82
3.54;4094.82
3.54;4062.83
3.54;4078.82
3.54;4142.8
3.59;4062.83
3.59;4046.83
3.59;4046.83
3.59;4062.83
3.59;4078.82
3.65;4046.83
3.65;4062.83
3.65;4078.82
3.65;4078.82
3.65;4110.81
3.65;4094.82
3.65;4110.81
3.65;4126.81
3.71;4094.82
3.71;4110.81
3.71;4126.81
3.71;4142.8
3.71;4206.78
3.71;4190.79
3.71;4206.78
3.76;4190.79
3.76;4174.79
3.76;4174.79
3.76;4094.82
3.76;4078.82
3.76;4094.82
3.82;4094.82
3.82;4110.81
3.82;4094.82
3.82;4126.81
3.82;4110.81
3.82;4126.81
3.82;4142.8
3.87;4110.81
3.87;4126.81
3.87;4142.8
3.87;4126.81
3.87;4142.8
3.87;4158.8
3.87;4174.79
3.93;4126.81
3.93;4142.8
3.93;4158.8
3.93;4174.79
3.93;4174.79
3.93;4190.79
3.99;4158.8
3.99;4174.79
3.99;4142.8
3.99;4174.79
3.99;4190.79
3.99;4222.78
3.99;4222.78
3.99;4238.77
3.99;4238.77
3.99;4238.77
4.04;4222.78
4.04;4190.79
4.04;4254.77
4.04;4238.77
4.04;4254.77
4.1;4222.78
4.1;4222.78
4.1;4222.78
4.1;4206.78
4.1;4254.77
4.1;4270.77
4.1;4270.77
4.1;4270.77
4.16;4238.77
4.16;4254.77
4.16;4270.77
4.16;4254.77
4.16;4302.76
4.16;4318.75
4.16;4350.74
4.21;4318.75
4.21;4334.75
4.21;4302.76
4.21;4334.75
4.21;4334.75
4.21;4350.74
4.21;4318.75
4.27;4318.75
4.27;4334.75
4.27;4382.73
4.27;4286.76
4.27;4302.76
4.27;4318.75
4.32;4270.77
4.32;4286.76
4.32;4302.76
4.32;4302.76
4.32;4334.75
4.32;4318.75
4.32;4350.74
4.38;4334.75
4.38;4350.74
4.38;4334.75
4.38;4366.74
4.38;4350.74
4.38;4382.73
4.38;4398.73
4.44;4350.74
4.44;4398.73
4.44;4462.71
4.44;4446.71
4.44;4462.71
4.44;4414.72
4.44;4334.75
4.49;4414.72
4.49;4302.76
4.49;4334.75
4.49;4334.75
4.49;4334.75
4.49;4350.74
4.55;4334.75
4.55;4366.74
4.55;4350.74
4.55;4366.74
4.55;4366.74
4.55;4382.73
4.55;4382.73
4.6;4350.74
4.6;4350.74
4.6;4366.74
4.6;4366.74
4.6;4398.73
4.6;4382.73
4.6;4398.73
4.6;4414.72
4.66;4398.73
4.66;4398.73
4.66;4414.72
4.66;4398.73
4.66;4414.72
4.66;4414.72
4.72;4398.73
4.72;4398.73
4.72;4430.72
4.72;4430.72
4.72;4446.71
4.72;4446.71
4.72;4462.71
4.72;4446.71
4.77;4430.72
4.77;4446.71
4.77;4462.71
4.77;4462.71
4.77;4478.71
4.83;4446.71
4.83;4430.72
4.83;4462.71
4.83;4478.71
4.83;4414.72
4.83;4446.71
4.83;4510.7
4.89;4478.71
4.89;4494.7
4.89;4526.69
4.89;4494.7
4.89;4478.71
4.89;4478.71
4.89;4542.69
4.89;4526.69
4.89;4478.71
4.94;4494.7
4.94;4526.69
4.94;4494.7
4.94;4542.69
4.94;4574.68
5;4558.68
5;4526.69
5;4558.68
5;4542.69
5;4590.67
5;4606.67
5;4542.69
5.05;4590.67
5.05;4510.7
5.05;4494.7
5.05;4526.69
5.05;4510.7
5.05;4542.69
5.05;4542.69
5.11;4526.69
5.11;4542.69
5.11;4558.68
5.11;4542.69
5.11;4574.68
5.11;4590.67
5.17;4558.68
5.17;4574.68
5.17;4590.67
5.17;4574.68
5.17;4590.67
5.17;4590.67
5.17;4606.67
5.17;4590.67
5.17;4590.67
5.17;4606.67
5.22;4590.67
5.22;4590.67
5.22;4606.67
5.22;4590.67
5.28;4590.67
5.28;4590.67
5.28;4638.66
5.28;4654.65
5.28;4686.64
5.28;4702.64
5.28;4574.68
5.33;4686.64
5.33;4526.69
5.33;4574.68
5.33;4574.68
5.33;4558.68
5.33;4574.68
5.33;4590.67
5.33;4590.67
5.39;4558.68
5.39;4574.68
5.39;4574.68
5.39;4590.67
5.39;4574.68
5.39;4606.67
5.39;4574.68
5.39;4606.67
5.39;4606.67
5.45;4590.67
5.45;4590.67
5.45;4622.66
5.45;4606.67
5.45;4622.66
5.5;4606.67
5.5;4622.66
5.5;4606.67
5.5;4622.66
5.5;4638.66
5.56;4606.67
5.56;4606.67
5.56;4638.66
5.56;4622.66
5.56;4654.65
5.56;4654.65
5.62;4638.66
5.62;4654.65
5.62;4670.65
5.62;4654.65
5.62;4670.65
5.62;4638.66
5.62;4670.65
5.67;4654.65
5.67;4686.64
5.67;4654.65
5.67;4686.64
5.67;4654.65
5.67;4670.65
5.67;4670.65
5.67;4702.64
5.73;4654.65
5.73;4670.65
5.73;4686.64
5.73;4686.64
5.73;4654.65
5.73;4702.64
5.73;4686.64
5.73;4750.63
5.78;4702.64
5.78;4702.64
5.78;4734.63
5.78;4766.62
5.78;4702.64
5.84;4734.63
5.84;4702.64
5.84;4734.63
5.84;4686.64
5.84;4718.64
5.84;4734.63
5.84;4750.63
5.84;4782.62
5.9;4734.63
5.9;4766.62
5.9;4798.61
5.9;4798.61
5.9;4798.61
5.95;4782.62
5.95;4782.62
5.95;4766.62
5.95;4782.62
5.95;4750.63
5.95;4766.62
5.95;4734.63
6.01;4750.63
6.01;4718.64
6.01;4766.62
6.01;4782.62
6.01;4798.61
6.01;4702.64
6.01;4734.63
6.01;4734.63
6.06;4718.64
6.06;4734.63
6.06;4750.63
6.06;4734.63
6.06;4766.62
6.12;4750.63
6.12;4782.62
6.12;4766.62
6.12;4830.6
6.12;4862.59
6.18;4718.64
6.18;4782.62
6.18;4814.61
6.18;4862.59
6.18;4894.58
6.18;4862.59
6.18;4862.59
6.18;4846.6
6.18;4894.58
6.18;4926.58
6.23;4894.58
6.23;4734.63
6.23;4782.62
6.23;4782.62
6.23;4782.62
6.23;4782.62
6.29;4766.62
6.29;4766.62
6.29;4782.62
6.29;4766.62
6.29;4798.61
6.29;4798.61
6.29;4798.61
6.35;4782.62
6.35;4782.62
6.35;4782.62
6.35;4798.61
6.35;4814.61
6.4;4782.62
6.4;4798.61
6.4;4814.61
6.4;4798.61
6.4;4814.61
6.4;4798.61
6.4;4830.6
6.4;4830.6
6.46;4814.61
6.46;4814.61
6.46;4830.6
6.46;4830.6
6.46;4830.6
6.51;4814.61
6.51;4814.61
6.51;4814.61
6.51;4846.6
6.51;4830.6
6.51;4862.59
6.51;4862.59
6.51;4862.59
6.57;4846.6
6.57;4846.6
6.57;4846.6
6.57;4862.59
6.57;4862.59
6.57;4878.59
6.63;4846.6
6.63;4846.6
6.63;4846.6
6.63;4878.59
6.63;4846.6
6.63;4862.59
6.63;4878.59
6.68;4846.6
6.68;4846.6
6.68;4862.59
6.68;4862.59
6.68;4894.58
6.68;4878.59
6.68;4910.58
6.74;4878.59
6.74;4862.59
6.74;4862.59
6.74;4894.58
6.74;4894.58
6.79;4894.58
6.79;4862.59
6.79;4910.58
6.79;4910.58
6.79;4910.58
6.79;4878.59
6.79;4910.58
6.79;4942.57
6.85;4910.58
6.85;4926.58
6.85;4942.57
6.85;4926.58
6.85;4974.56
6.85;4990.56
6.85;5022.55
6.85;4910.58
6.91;4862.59
6.91;4926.58
6.91;4974.56
6.91;4910.58
6.91;4974.56
6.91;4958.57
6.96;4942.57
6.96;4958.57
6.96;4974.56
6.96;4958.57
6.96;4990.56
6.96;4910.58
6.96;4942.57
7.02;4958.57
7.02;4990.56
7.02;4974.56
7.02;5006.55
7.02;5022.55
7.08;5006.55
7.08;4990.56
7.08;4990.56
7.08;4926.58
7.08;4958.57
7.08;4926.58
7.08;4926.58
7.08;4926.58
7.13;4910.58
7.13;4910.58
7.13;4926.58
7.13;4926.58
7.13;4958.57
7.13;4958.57
7.13;4958.57
7.19;4942.57
7.19;4942.57
7.19;4942.57
7.19;4974.56
7.19;5038.54
7.19;4958.57
7.19;4990.56
7.24;4990.56
