Déplacement (mm);Force (N)
2.47;7901.72
2.47;7901.72
2.47;7917.71
2.47;7917.71
2.47;7917.71
2.53;7917.71
2.53;7917.71
2.53;7917.71
2.53;7933.71
2.53;7933.71
2.53;7949.7
2.58;7949.7
2.58;7949.7
2.58;7933.71
2.58;7933.71
2.58;7933.71
2.64;7933.71
2.64;7933.71
2.64;7933.71
2.64;7933.71
2.64;7933.71
2.64;7949.7
2.64;7949.7
2.64;7949.7
2.64;7949.7
2.64;7949.7
2.7;7949.7
2.7;7933.71
2.7;7949.7
2.7;7949.7
2.7;7949.7
2.75;7949.7
2.75;7965.7
2.75;7965.7
2.75;7981.69
2.75;7981.69
2.75;7981.69
2.75;7981.69
2.81;7981.69
2.81;7981.69
2.81;7981.69
2.81;7981.69
2.81;7981.69
2.81;7981.69
2.81;7981.69
2.81;7981.69
2.86;7981.69
2.86;7981.69
2.86;7981.69
2.86;7981.69
2.86;7981.69
2.86;7981.69
2.92;7981.69
2.92;7981.69
2.92;7981.69
2.92;7997.69
2.92;7997.69
2.92;8013.68
2.92;8029.68
2.92;8045.67
2.98;8061.67
2.98;8061.67
2.98;8093.66
2.98;8109.66
2.98;8125.65
2.98;8141.65
3.03;8125.65
3.03;8141.65
3.03;8157.64
3.03;8157.64
3.03;8173.64
3.03;8157.64
3.03;8173.64
3.03;8173.64
3.03;8189.63
3.03;8189.63
3.09;8205.63
3.09;8205.63
3.09;8221.62
3.09;8221.62
3.09;8221.62
3.14;8221.62
3.14;8237.62
3.14;8237.62
3.14;8253.61
3.14;8253.61
3.14;8269.61
3.14;8269.61
3.14;8285.6
3.2;8269.61
3.2;8285.6
3.2;8285.6
3.2;8301.6
3.26;8285.6
3.26;8301.6
3.26;8301.6
3.26;8317.6
3.26;8317.6
3.26;8317.6
3.26;8333.59
3.26;8333.59
3.26;8333.59
3.31;8349.59
3.31;8349.59
3.31;8349.59
3.31;8365.58
3.31;8365.58
3.31;8365.58
3.37;8381.58
3.37;8381.58
3.37;8381.58
3.37;8381.58
3.37;8397.57
3.37;8397.57
3.37;8397.57
